osm_id,code,fclass,name,Latitude,Longitude
5302474677,5601,railway_station,Peralam Junction,10° 57' 29.61"" N,079° 39' 25.42"" E
5302474693,5601,railway_station,Nannilam,10° 53' 5.45"" N,079° 39' 4.12"" E
5302919531,5601,railway_station,Mavur Road,10° 41' 24.49"" N,079° 37' 43.94"" E
5302919532,5601,railway_station,Tirunellikaval,10° 39' 11.04"" N,079° 38' 11.55"" E
5302919539,5601,railway_station,Alattambadi,10° 36' 18.69"" N,079° 38' 24.84"" E
5302919555,5601,railway_station,Pandi,10° 28' 37.46"" N,079° 36' 55.54"" E
5302919556,5601,railway_station,Tillaivilagam,10° 26' 36.4"" N,079° 33' 37.72"" E
5302919557,5601,railway_station,Mutupet,10° 24' 9.72"" N,079° 29' 55.87"" E
5302919561,5601,railway_station,Pattukkottai,10° 24' 58.64"" N,079° 19' 14.02"" E
5302919588,5601,railway_station,Peravurani,10° 17' 8.64"" N,079° 12' 2.34"" E
5303103019,5601,railway_station,Ayingudi,10° 13' 1.71"" N,079° 05' 31.57"" E
5303104522,5601,railway_station,Arantangi,10° 10' 19.58"" N,079° 00' 11.98"" E
5303104524,5601,railway_station,Kandanur Puduvayal,10° 06' 20.76"" N,078° 50' 18.39"" E
5303104550,5601,railway_station,Saliyamangalam,10° 46' 46.69"" N,079° 16' 31.0"" E
5303104568,5601,railway_station,Ammapet,10° 46' 44.26"" N,079° 19' 29.38"" E
5303104583,5601,railway_station,Nidamangalam Junction,10° 46' 25.56"" N,079° 24' 49.84"" E
5303104596,5601,railway_station,Mannargudi,10° 40' 30.51"" N,079° 27' 19.34"" E
5303104738,5601,railway_station,Koradacheri,10° 46' 17.15"" N,079° 29' 24.58"" E
5303104744,5601,railway_station,Tirumanthikunam,10° 46' 1.16"" N,079° 32' 24.8"" E
5303104751,5601,railway_station,Kulikarai,10° 45' 56.19"" N,079° 35' 4.9"" E
5303104762,5601,railway_station,Adiyakkamangalam,10° 45' 26.51"" N,079° 40' 53.98"" E
